"cnty_fips","display_name","Value","theme_range"
16019,"""Bonneville, (ID)""",68.5,"62.9 - 71.8 (651)"
16023,"""Butte, (ID)""",73.9,"71.9 - 78.8 (637)"
16025,"""Camas, (ID)""",57.4,"0.0 - 62.8 (644)"
16027,"""Canyon, (ID)""",70.3,"62.9 - 71.8 (651)"
16029,"""Caribou, (ID)""",85.7,"78.9 - 89.3 (647)"
16031,"""Cassia, (ID)""",74.3,"71.9 - 78.8 (637)"
16033,"""Clark, (ID)""",68.7,"62.9 - 71.8 (651)"
16037,"""Custer, (ID)""",59.2,"0.0 - 62.8 (644)"
16039,"""Elmore, (ID)""",68.9,"62.9 - 71.8 (651)"
16041,"""Franklin, (ID)""",79.3,"78.9 - 89.3 (647)"
16043,"""Fremont, (ID)""",62.6,"0.0 - 62.8 (644)"
16045,"""Gem, (ID)""",68.8,"62.9 - 71.8 (651)"
16047,"""Gooding, (ID)""",69.7,"62.9 - 71.8 (651)"
16051,"""Jefferson, (ID)""",76.1,"71.9 - 78.8 (637)"
16053,"""Jerome, (ID)""",72,"71.9 - 78.8 (637)"
16063,"""Lincoln, (ID)""",64.1,"62.9 - 71.8 (651)"
16065,"""Madison, (ID)""",71.5,"62.9 - 71.8 (651)"
16067,"""Minidoka, (ID)""",67.8,"62.9 - 71.8 (651)"
16071,"""Oneida, (ID)""",74.9,"71.9 - 78.8 (637)"
16073,"""Owyhee, (ID)""",70,"62.9 - 71.8 (651)"
16075,"""Payette, (ID)""",69.4,"62.9 - 71.8 (651)"
16077,"""Power, (ID)""",76.6,"71.9 - 78.8 (637)"
16081,"""Teton, (ID)""",66.5,"62.9 - 71.8 (651)"
16083,"""Twin Falls, (ID)""",68.1,"62.9 - 71.8 (651)"
16087,"""Washington, (ID)""",64.4,"62.9 - 71.8 (651)"
32001,"""Churchill, (NV)""",68.7,"62.9 - 71.8 (651)"
32003,"""Clark, (NV)""",70.4,"62.9 - 71.8 (651)"
32005,"""Douglas, (NV)""",62,"0.0 - 62.8 (644)"
32007,"""Elko, (NV)""",63.5,"62.9 - 71.8 (651)"
32009,"""Esmeralda, (NV)""",64.7,"62.9 - 71.8 (651)"
32011,"""Eureka, (NV)""",69.5,"62.9 - 71.8 (651)"
32013,"""Humboldt, (NV)""",68,"62.9 - 71.8 (651)"
32015,"""Lander, (NV)""",67.6,"62.9 - 71.8 (651)"
32017,"""Lincoln, (NV)""",69.6,"62.9 - 71.8 (651)"
32019,"""Lyon, (NV)""",79.2,"78.9 - 89.3 (647)"
32021,"""Mineral, (NV)""",77.5,"71.9 - 78.8 (637)"
32023,"""Nye, (NV)""",70.3,"62.9 - 71.8 (651)"
32027,"""Pershing, (NV)""",67.1,"62.9 - 71.8 (651)"
32029,"""Storey, (NV)""",67.8,"62.9 - 71.8 (651)"
32031,"""Washoe, (NV)""",68.6,"62.9 - 71.8 (651)"
32033,"""White Pine, (NV)""",58.4,"0.0 - 62.8 (644)"
32510,"""Carson City, (NV)""",74.2,"71.9 - 78.8 (637)"
35003,"""Catron, (NM)""",61.1,"0.0 - 62.8 (644)"
35006,"""Cibola, (NM)""",70.8,"62.9 - 71.8 (651)"
35013,"""Do̱a Ana, (NM)""",64.1,"62.9 - 71.8 (651)"
35017,"""Grant, (NM)""",56,"0.0 - 62.8 (644)"
35023,"""Hidalgo, (NM)""",63,"62.9 - 71.8 (651)"
35029,"""Luna, (NM)""",68,"62.9 - 71.8 (651)"
35031,"""McKinley, (NM)""",71.8,"62.9 - 71.8 (651)"
35043,"""Sandoval, (NM)""",74.4,"71.9 - 78.8 (637)"
35045,"""San Juan, (NM)""",74.3,"71.9 - 78.8 (637)"
35051,"""Sierra, (NM)""",65.6,"62.9 - 71.8 (651)"
35053,"""Socorro, (NM)""",61.8,"0.0 - 62.8 (644)"
35061,"""Valencia, (NM)""",69.6,"62.9 - 71.8 (651)"
41023,"""Grant, (OR)""",70.8,"62.9 - 71.8 (651)"
41025,"""Harney, (OR)""",74.9,"71.9 - 78.8 (637)"
41045,"""Malheur, (OR)""",70.2,"62.9 - 71.8 (651)"
49001,"""Beaver, (UT)""",75.6,"71.9 - 78.8 (637)"
49003,"""Box Elder, (UT)""",84.1,"78.9 - 89.3 (647)"
49005,"""Cache, (UT)""",63.3,"62.9 - 71.8 (651)"
49007,"""Carbon, (UT)""",69.2,"62.9 - 71.8 (651)"
49009,"""Daggett, (UT)""",60.1,"0.0 - 62.8 (644)"
49011,"""Davis, (UT)""",74.9,"71.9 - 78.8 (637)"
49013,"""Duchesne, (UT)""",65.4,"62.9 - 71.8 (651)"
49015,"""Emery, (UT)""",64.8,"62.9 - 71.8 (651)"
49017,"""Garfield, (UT)""",72.1,"71.9 - 78.8 (637)"
49019,"""Grand, (UT)""",65.1,"62.9 - 71.8 (651)"
49021,"""Iron, (UT)""",66.6,"62.9 - 71.8 (651)"
49023,"""Juab, (UT)""",71.5,"62.9 - 71.8 (651)"
49025,"""Kane, (UT)""",64.8,"62.9 - 71.8 (651)"
49027,"""Millard, (UT)""",75.5,"71.9 - 78.8 (637)"
49029,"""Morgan, (UT)""",74.9,"71.9 - 78.8 (637)"
49031,"""Piute, (UT)""",75,"71.9 - 78.8 (637)"
49033,"""Rich, (UT)""",68.2,"62.9 - 71.8 (651)"
49035,"""Salt Lake, (UT)""",74.3,"71.9 - 78.8 (637)"
49037,"""San Juan, (UT)""",67.9,"62.9 - 71.8 (651)"
49039,"""Sanpete, (UT)""",72,"71.9 - 78.8 (637)"
49041,"""Sevier, (UT)""",79.8,"78.9 - 89.3 (647)"
49043,"""Summit, (UT)""",70.8,"62.9 - 71.8 (651)"
49045,"""Tooele, (UT)""",70.7,"62.9 - 71.8 (651)"
49047,"""Uintah, (UT)""",55.7,"0.0 - 62.8 (644)"
49049,"""Utah, (UT)""",71.6,"62.9 - 71.8 (651)"
49051,"""Wasatch, (UT)""",69,"62.9 - 71.8 (651)"
49053,"""Washington, (UT)""",66,"62.9 - 71.8 (651)"
49055,"""Wayne, (UT)""",71.4,"62.9 - 71.8 (651)"
49057,"""Weber, (UT)""",75.5,"71.9 - 78.8 (637)"
56003,"""Big Horn, (WY)""",70.5,"62.9 - 71.8 (651)"
56007,"""Carbon, (WY)""",66.5,"62.9 - 71.8 (651)"
56013,"""Fremont, (WY)""",60.6,"0.0 - 62.8 (644)"
56017,"""Hot Springs, (WY)""",58,"0.0 - 62.8 (644)"
56023,"""Lincoln, (WY)""",62.9,"62.9 - 71.8 (651)"
56025,"""Natrona, (WY)""",60.4,"0.0 - 62.8 (644)"
56029,"""Park, (WY)""",59,"0.0 - 62.8 (644)"
56035,"""Sublette, (WY)""",58.9,"0.0 - 62.8 (644)"
56037,"""Sweetwater, (WY)""",61.7,"0.0 - 62.8 (644)"
56039,"""Teton, (WY)""",60.2,"0.0 - 62.8 (644)"
56041,"""Uinta, (WY)""",62.9,"62.9 - 71.8 (651)"
56043,"""Washakie, (WY)""",60.6,"0.0 - 62.8 (644)"
22031,"""De Soto, (LA)""",95.9,"89.4 - 219.7 (639)"
48001,"""Anderson, (TX)""",84.5,"78.9 - 89.3 (647)"
48005,"""Angelina, (TX)""",180.2,"89.4 - 219.7 (639)"
48007,"""Aransas, (TX)""",49.7,"0.0 - 62.8 (644)"
48013,"""Atascosa, (TX)""",82.6,"78.9 - 89.3 (647)"
48015,"""Austin, (TX)""",66.4,"62.9 - 71.8 (651)"
48019,"""Bandera, (TX)""",79.5,"78.9 - 89.3 (647)"
48021,"""Bastrop, (TX)""",73.9,"71.9 - 78.8 (637)"
48025,"""Bee, (TX)""",92.9,"89.4 - 219.7 (639)"
48027,"""Bell, (TX)""",63.8,"62.9 - 71.8 (651)"
48029,"""Bexar, (TX)""",82.9,"78.9 - 89.3 (647)"
48031,"""Blanco, (TX)""",71.3,"62.9 - 71.8 (651)"
48035,"""Bosque, (TX)""",90.7,"89.4 - 219.7 (639)"
48039,"""Brazoria, (TX)""",82.2,"78.9 - 89.3 (647)"
48041,"""Brazos, (TX)""",74.8,"71.9 - 78.8 (637)"
48043,"""Brewster, (TX)""",56.2,"0.0 - 62.8 (644)"
48047,"""Brooks, (TX)""",56.3,"0.0 - 62.8 (644)"
48049,"""Brown, (TX)""",80.2,"78.9 - 89.3 (647)"
48051,"""Burleson, (TX)""",72.8,"71.9 - 78.8 (637)"
48053,"""Burnet, (TX)""",74.2,"71.9 - 78.8 (637)"
48055,"""Caldwell, (TX)""",73.3,"71.9 - 78.8 (637)"
48057,"""Calhoun, (TX)""",78.8,"71.9 - 78.8 (637)"
48061,"""Cameron, (TX)""",54.4,"0.0 - 62.8 (644)"
48071,"""Chambers, (TX)""",81.5,"78.9 - 89.3 (647)"
48073,"""Cherokee, (TX)""",80.7,"78.9 - 89.3 (647)"
48081,"""Coke, (TX)""",80.6,"78.9 - 89.3 (647)"
48083,"""Coleman, (TX)""",83.1,"78.9 - 89.3 (647)"
48089,"""Colorado, (TX)""",67,"62.9 - 71.8 (651)"
48091,"""Comal, (TX)""",73.9,"71.9 - 78.8 (637)"
48093,"""Comanche, (TX)""",80,"78.9 - 89.3 (647)"
48095,"""Concho, (TX)""",83.8,"78.9 - 89.3 (647)"
48099,"""Coryell, (TX)""",83.2,"78.9 - 89.3 (647)"
48103,"""Crane, (TX)""",77.4,"71.9 - 78.8 (637)"
48105,"""Crockett, (TX)""",67.8,"62.9 - 71.8 (651)"
48109,"""Culberson, (TX)""",61.8,"0.0 - 62.8 (644)"
48123,"""DeWitt, (TX)""",72.7,"71.9 - 78.8 (637)"
48127,"""Dimmit, (TX)""",77.2,"71.9 - 78.8 (637)"
48131,"""Duval, (TX)""",77,"71.9 - 78.8 (637)"
48135,"""Ector, (TX)""",76.6,"71.9 - 78.8 (637)"
48137,"""Edwards, (TX)""",76.2,"71.9 - 78.8 (637)"
48141,"""El Paso, (TX)""",62.4,"0.0 - 62.8 (644)"
48145,"""Falls, (TX)""",90.2,"89.4 - 219.7 (639)"
48149,"""Fayette, (TX)""",70.5,"62.9 - 71.8 (651)"
48157,"""Fort Bend, (TX)""",69.8,"62.9 - 71.8 (651)"
48161,"""Freestone, (TX)""",87.2,"78.9 - 89.3 (647)"
48163,"""Frio, (TX)""",84.9,"78.9 - 89.3 (647)"
48167,"""Galveston, (TX)""",89.1,"78.9 - 89.3 (647)"
48171,"""Gillespie, (TX)""",58.4,"0.0 - 62.8 (644)"
48173,"""Glasscock, (TX)""",65.2,"62.9 - 71.8 (651)"
48175,"""Goliad, (TX)""",75.4,"71.9 - 78.8 (637)"
48177,"""Gonzales, (TX)""",70.5,"62.9 - 71.8 (651)"
48185,"""Grimes, (TX)""",72,"71.9 - 78.8 (637)"
48187,"""Guadalupe, (TX)""",60.5,"0.0 - 62.8 (644)"
48193,"""Hamilton, (TX)""",80.5,"78.9 - 89.3 (647)"
48199,"""Hardin, (TX)""",88.6,"78.9 - 89.3 (647)"
48201,"""Harris, (TX)""",79.6,"78.9 - 89.3 (647)"
48209,"""Hays, (TX)""",72.6,"71.9 - 78.8 (637)"
48215,"""Hidalgo, (TX)""",49.2,"0.0 - 62.8 (644)"
48217,"""Hill, (TX)""",96.5,"89.4 - 219.7 (639)"
48225,"""Houston, (TX)""",80.6,"78.9 - 89.3 (647)"
48229,"""Hudspeth, (TX)""",60.7,"0.0 - 62.8 (644)"
48235,"""Irion, (TX)""",82.1,"78.9 - 89.3 (647)"
48239,"""Jackson, (TX)""",75.6,"71.9 - 78.8 (637)"
48241,"""Jasper, (TX)""",112.4,"89.4 - 219.7 (639)"
48243,"""Jeff Davis, (TX)""",53.7,"0.0 - 62.8 (644)"
48245,"""Jefferson, (TX)""",91.2,"89.4 - 219.7 (639)"
48247,"""Jim Hogg, (TX)""",72.1,"71.9 - 78.8 (637)"
48249,"""Jim Wells, (TX)""",84.3,"78.9 - 89.3 (647)"
48255,"""Karnes, (TX)""",79.7,"78.9 - 89.3 (647)"
48259,"""Kendall, (TX)""",70.6,"62.9 - 71.8 (651)"
48261,"""Kenedy, (TX)""",49.6,"0.0 - 62.8 (644)"
48265,"""Kerr, (TX)""",61.8,"0.0 - 62.8 (644)"
48267,"""Kimble, (TX)""",64.2,"62.9 - 71.8 (651)"
48271,"""Kinney, (TX)""",82.2,"78.9 - 89.3 (647)"
48273,"""Kleberg, (TX)""",82.6,"78.9 - 89.3 (647)"
48281,"""Lampasas, (TX)""",75.7,"71.9 - 78.8 (637)"
48283,"""La Salle, (TX)""",76.9,"71.9 - 78.8 (637)"
48285,"""Lavaca, (TX)""",70.7,"62.9 - 71.8 (651)"
48287,"""Lee, (TX)""",73.1,"71.9 - 78.8 (637)"
48289,"""Leon, (TX)""",79.5,"78.9 - 89.3 (647)"
48291,"""Liberty, (TX)""",85.3,"78.9 - 89.3 (647)"
48293,"""Limestone, (TX)""",93,"89.4 - 219.7 (639)"
48297,"""Live Oak, (TX)""",89.1,"78.9 - 89.3 (647)"
48299,"""Llano, (TX)""",62.5,"0.0 - 62.8 (644)"
48301,"""Loving, (TX)""",72,"71.9 - 78.8 (637)"
48307,"""McCulloch, (TX)""",89.7,"89.4 - 219.7 (639)"
48309,"""McLennan, (TX)""",93.1,"89.4 - 219.7 (639)"
48311,"""McMullen, (TX)""",77,"71.9 - 78.8 (637)"
48313,"""Madison, (TX)""",78.8,"71.9 - 78.8 (637)"
48319,"""Mason, (TX)""",61.7,"0.0 - 62.8 (644)"
48321,"""Matagorda, (TX)""",83.8,"78.9 - 89.3 (647)"
48323,"""Maverick, (TX)""",76.5,"71.9 - 78.8 (637)"
48325,"""Medina, (TX)""",82.8,"78.9 - 89.3 (647)"
48327,"""Menard, (TX)""",83.1,"78.9 - 89.3 (647)"
48329,"""Midland, (TX)""",70.9,"62.9 - 71.8 (651)"
48331,"""Milam, (TX)""",73.2,"71.9 - 78.8 (637)"
48333,"""Mills, (TX)""",81.2,"78.9 - 89.3 (647)"
48339,"""Montgomery, (TX)""",74,"71.9 - 78.8 (637)"
48347,"""Nacogdoches, (TX)""",87.8,"78.9 - 89.3 (647)"
48349,"""Navarro, (TX)""",96.1,"89.4 - 219.7 (639)"
48351,"""Newton, (TX)""",104.5,"89.4 - 219.7 (639)"
48355,"""Nueces, (TX)""",84.3,"78.9 - 89.3 (647)"
48361,"""Orange, (TX)""",100.6,"89.4 - 219.7 (639)"
48371,"""Pecos, (TX)""",54.7,"0.0 - 62.8 (644)"
48373,"""Polk, (TX)""",133.1,"89.4 - 219.7 (639)"
