"Rank","RO","state_id","state_name","county_name","county_fips","IATA1","ICAO","Name","City.x","City.y","city","S/L","Hub","Latitude","Longitude","CY 18 Enplanements","CY 17 Enplanements","% Change","Altitude","Timezone","timezone","DST","Tz database","Type","Source"
418,"CE","MO","Missouri","Cape Girardeau",29031,"CGI","KCGI","Cape Girardeau Regional Airport","Scott City","Cape Girardeau","Cape Girardeau","CS","None",37.2252998352051,-89.57080078125,9160,6321,0.4491,342,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
372,"CE","NE","Nebraska","Scotts Bluff",31157,"BFF","KBFF","Western Neb. Rgnl/William B. Heilig Airport","Scottsbluff","Scottsbluff","Scottsbluff","P","N",41.87400055,-103.5960007,14295,3709,2.8541,3967,-7,"America/Denver","A","America/Denver","airport","OurAirports"
8,"NM","WA","Washington","King",53033,"SEA","KSEA","Seattle Tacoma International Airport","Seattle","Seattle","Seattle","P","L",47.449001,-122.308998,24024908,22639124,0.0612,433,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
353,"NM","WA","Washington","King",53033,"BFI","KBFI","Boeing Field King County International Airport","Seattle","Seattle","Seattle","P","N",47.5299987792969,-122.302001953125,18586,17294,0.0747,21,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
474,"AL","AK","Alaska","Northwest Arctic",2188,"WLK","PASK","Selawik Airport","Selawik","Selawik","Selawik","CS","None",66.60009766,-159.9859924,5094,5260,-0.0316,17,-9,"America/Anchorage","A","America/Anchorage","airport","OurAirports"
488,"AL","AK","Alaska","Kenai Peninsula",2122,"SOV","PASO","Seldovia Airport","Seldovia","Seldovia","Seldovia","CS","None",59.442401885986,-151.70399475098,4315,4206,0.0259,29,-9,"America/Anchorage","A","\N","airport","OurAirports"
380,"NM","WY","Wyoming","Sheridan",56033,"SHR","KSHR","Sheridan County Airport","Sheridan","Sheridan","Sheridan","P","N",44.7691993713379,-106.980003356934,13182,10876,0.212,4021,-7,"America/Denver","A","America/Denver","airport","OurAirports"
520,"AL","AK","Alaska","Nome",2180,"SHH","PASH","Shishmaref Airport","Shishmaref","Shishmaref","Shishmaref","CS","None",66.249604,-166.089112,3350,3360,-0.003,12,-9,"America/Nome","A","America/Anchorage","airport","OurAirports"
497,"WP","AZ","Arizona","Navajo",4017,"SOW","KSOW","Show Low Regional Airport","Show Low","Show Low","Show Low","CS","None",34.265499115,-110.005996704,4042,4917,-0.178,6415,-7,"America/Phoenix","A","America/Phoenix","airport","OurAirports"
169,"SW","LA","Louisiana","Caddo",22017,"SHV","KSHV","Shreveport Regional Airport","Shreveport","Shreveport","Shreveport","P","N",32.446602,-93.8256,291136,267646,0.0878,258,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
413,"NM","MT","Montana","Richland",30083,"SDY","KSDY","Sidney - Richland Regional Airport","Sidney","Sidney","Sidney","P","N",47.706902,-104.193001,10055,8429,0.1929,1985,-7,"America/Denver","A","America/Denver","airport","OurAirports"
288,"CE","IA","Iowa","Woodbury",19193,"SUX","KSUX","Sioux Gateway Col. Bud Day Field","Sioux City","Sioux City","Sioux City","P","N",42.40259933,-96.38439941,44779,41787,0.0716,1098,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
123,"GL","SD","South Dakota","Minnehaha",46099,"FSD","KFSD","Joe Foss Field Airport","Sioux Falls","Sioux Falls","Sioux Falls","P","S",43.5820007324,-96.741897583,529895,540877,-0.0203,1429,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
243,"AL","AK","Alaska","Sitka",2220,"SIT","PASI","Sitka Rocky Gutierrez Airport","Sitka","Sitka","Sitka","P","N",57.0471000671387,-135.361999511719,87119,83598,0.0421,21,-9,"America/Sitka","A","America/Anchorage","airport","OurAirports"
435,"AL","AK","Alaska","Skagway",2230,"SGY","PAGY","Skagway Airport","Skagway","Skagway","Skagway","CS","None",59.4600982666016,-135.315994262695,7324,7380,-0.0076,44,-9,"America/Juneau","A","America/Anchorage","airport","OurAirports"
149,"GL","IN","Indiana","St. Joseph",18141,"SBN","KSBN","South Bend Regional Airport","South Bend","South Bend","South Bend","P","N",41.7086982727051,-86.3172988891602,366617,307471,0.1924,799,-5,"America/Indiana/Indianapolis","A","America/New_York","airport","OurAirports"
71,"NM","WA","Washington","Spokane",53063,"GEG","KGEG","Spokane International Airport","Spokane","Spokane","Spokane","P","S",47.6198997497559,-117.533996582031,1872781,1698433,0.1027,2376,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
124,"CE","MO","Missouri","Greene",29077,"SGF","KSGF","Springfield Branson National Airport","Springfield","Springfield","Springfield","P","S",37.24570084,-93.38860321,523108,483259,0.0825,1268,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
