"FIPS","Name","State","Population","LandArea","TotalArea","CommutingByPublicTransportation","GDP","DayOfFirstCases","ConfirmedCasesDay25","lat","lon"
37067,"Forsyth County","NC",382295,1056149964,1067934258,1702,25050740,50,588,36.13,-80.26
37085,"Harnett County","NC",135976,1541110995,1557478247,96,2465729,53,350,35.37,-78.87
37101,"Johnston County","NC",209339,2049281828,2060845116,203,5241124,50,219,35.51,-78.37
37119,"Mecklenburg County","NC",1110356,1356047125,1414386465,16382,114507946,50,5129,35.25,-80.83
37133,"Onslow County","NC",197938,1973417749,2344440391,288,9116657,50,101,34.76,-77.5
37183,"Wake County","NC",1111761,2162178923,2220251117,5821,76979769,42,715,35.79,-78.65
37189,"Watauga County","NC",56177,809160417,811492676,596,2204140,53,103,36.24,-81.71
37191,"Wayne County","NC",123131,1434638262,1444493453,217,5195047,53,164,35.36,-78
37195,"Wilson County","NC",81801,952012785,966345475,85,4372310,54,329,35.7,-77.92
38101,"Ward County","ND",67641,5213657405,5324880773,200,4168646,51,153,48.22,-101.54
39013,"Belmont County","OH",67006,1378198933,1401894995,133,6353459,52,189,40.02,-80.97
39017,"Butler County","OH",383134,1208541665,1217362246,814,20361163,52,728,39.44,-84.57
39035,"Cuyahoga County","OH",1235072,1184103772,3225904434,26889,100074594,48,5448,41.76,-81.72
39049,"Franklin County","OH",1316756,1378944435,1407978504,15308,97774525,53,6236,39.97,-83.01
39093,"Lorain County","OH",309833,1272238893,2391690486,751,11251295,53,1408,41.44,-82.18
39095,"Lucas County","OH",428348,882436042,1543212413,3253,26754711,54,3176,41.68,-83.47
39103,"Medina County","OH",179746,1091406482,1095604938,319,6987777,54,1046,41.12,-81.9
39151,"Stark County","OH",370606,1490064421,1503700518,2219,17168748,50,649,40.81,-81.37
39153,"Summit County","OH",541013,1069181981,1088140248,4559,30687321,52,1933,41.12,-81.53
39155,"Trumbull County","OH",197974,1600713063,1648704530,459,8010128,51,695,41.31,-80.77
39157,"Tuscarawas County","OH",91987,1469641516,1480050364,119,3828988,54,233,40.45,-81.47
40027,"Cleveland County","OK",284014,1395724193,1445437336,538,8108704,54,1920,35.2,-97.33
40065,"Jackson County","OK",24530,2078855906,2082970324,4,1283950,51,40,34.59,-99.41
40071,"Kay County","OK",43538,2381847043,2447447654,26,1847931,54,401,36.81,-97.14
40109,"Oklahoma County","OK",797434,1835845600,1860576186,2033,64352017,52,2643,35.55,-97.41
40119,"Payne County","OK",81784,1773393751,1805165177,431,3427886,54,268,36.08,-96.98
40143,"Tulsa County","OK",651552,1477122998,1520381378,1990,49075158,46,561,36.12,-95.94
41005,"Clackamas County","OR",418187,4845034547,4876907650,5591,21482671,51,761,45.16,-122.2
41017,"Deschutes County","OR",197692,7815545146,7910300904,307,9326898,50,388,43.92,-121.23
41019,"Douglas County","OR",110980,13042266635,13294300064,92,3938195,47,70,43.29,-123.15
41029,"Jackson County","OR",220944,7208597907,7255364319,1016,9323330,46,140,42.41,-122.68
41035,"Klamath County","OR",68238,15391639803,15895326393,162,2577225,46,42,42.68,-121.65
41043,"Linn County","OR",129749,5923636964,5973991231,248,5014306,51,643,44.49,-122.54
41047,"Marion County","OR",347818,3057615207,3084184682,2713,16212174,47,1126,44.9,-122.58
41051,"Multnomah County","OR",812855,1116558776,1204781044,49018,67121018,49,1327,45.55,-122.42
41053,"Polk County","OR",86085,1918983329,1927136444,226,2045571,50,196,44.9,-123.4
41059,"Umatilla County","OR",77950,8327974442,8369595705,113,3865074,41,44,45.59,-118.73
41067,"Washington County","OR",601592,1875846777,1881973787,18115,49680871,39,545,45.55,-123.1
41071,"Yamhill County","OR",107100,1854169188,1860660947,345,3688878,54,324,45.25,-123.32
42003,"Allegheny County","PA",1216045,1890994754,1928301160,58049,96697540,53,6239,40.47,-79.98
42007,"Beaver County","PA",163929,1125904407,1150067135,1577,8031494,54,1003,40.68,-80.35
42017,"Bucks County","PA",628270,1565461198,1610597639,10819,34399200,49,3050,40.34,-75.11
42029,"Chester County","PA",524989,1943848979,1966408457,7091,45687252,52,2752,39.97,-75.75
42041,"Cumberland County","PA",253370,1412836743,1425356007,858,15311473,52,634,40.16,-77.26
42045,"Delaware County","PA",566747,476088156,493660579,28288,34373311,45,1892,39.92,-75.4
42069,"Lackawanna County","PA",209674,1188216340,1204113765,856,10170820,54,2002,41.44,-75.61
42077,"Lehigh County","PA",369318,894071856,901881829,3599,23988329,54,9103,40.61,-75.59
42079,"Luzerne County","PA",317417,2305983750,2347214219,1616,16620004,54,7435,41.17,-75.98
42089,"Monroe County","PA",170271,1575378412,1598252350,3332,6513963,48,2087,41.06,-75.33
42091,"Montgomery County","PA",830915,1250855248,1261872010,22799,77554844,47,4970,40.21,-75.37
42095,"Northampton County","PA",305285,957377695,976804164,2716,14023008,51,4040,40.75,-75.31
42101,"Philadelphia County","PA",1584064,347661370,369587912,167607,120491943,48,11173,40.01,-75.13
42103,"Pike County","PA",55809,1411441242,1468133484,615,1427387,51,762,41.33,-75.03
42125,"Washington County","PA",206865,2219590657,2229738332,1443,15895056,52,503,40.2,-80.25
42127,"Wayne County","PA",51361,1879248516,1944081736,208,1726625,45,74,41.65,-75.29
42133,"York County","PA",449058,2341882851,2358824683,1657,20978990,54,1836,39.92,-76.73
44007,"Providence County","RI",638931,1060563722,1128422703,10030,36773753,40,253,41.87,-71.58
44009,"Washington County","RI",125577,852827384,1457597286,630,7037459,52,651,41.4,-71.62
45007,"Anderson County","SC",202558,1848867555,1957377410,125,7093200,54,876,34.52,-82.64
45013,"Beaufort County","SC",192122,1492286911,2391802849,333,7494920,53,1620,32.36,-80.69
45019,"Charleston County","SC",411406,2377399079,3517179038,2497,31412677,45,811,32.8,-79.94
45045,"Greenville County","SC",523542,2033302113,2058459472,1091,30906085,54,2327,34.89,-82.37
45051,"Horry County","SC",354081,2936222687,3248885907,329,12734507,54,918,33.91,-78.98
45055,"Kershaw County","SC",66551,1881552070,1917265246,37,2034163,45,966,34.34,-80.59
45057,"Lancaster County","SC",98012,1422080325,1437569077,124,3820694,50,268,34.69,-80.7
45063,"Lexington County","SC",298750,1810376222,1962282361,261,12268323,53,1109,33.89,-81.27
45083,"Spartanburg County","SC",319785,2092047951,2121235121,579,15295526,47,266,34.93,-81.99
46005,"Beadle County","SD",18453,3260040832,3275846220,131,1008786,49,259,44.42,-98.28
46009,"Bon Homme County","SD",6901,1459586265,1506385760,0,242896,51,27,42.99,-97.89
46023,"Charles Mix County","SD",9292,2842481185,2979097951,14,611445,49,27,43.21,-98.6
46035,"Davison County","SD",19775,1128284964,1131689520,152,1155059,49,42,43.68,-98.16
46087,"McCook County","SD",5586,1487184889,1494080605,25,259880,52,42,43.68,-97.36
46099,"Minnehaha County","SD",193134,2089691730,2107890226,871,17766273,49,452,43.67,-96.8
46103,"Pennington County","SD",113775,7191808283,7211715258,311,5802018,48,55,44,-102.82
47013,"Campbell County","TN",39842,1243615770,1290110447,13,917213,53,77,36.4,-84.16
47037,"Davidson County","TN",694144,1304032668,1360623108,7651,71674551,47,3984,36.17,-86.78
47065,"Hamilton County","TN",367804,1404654388,1491300221,1843,26341437,53,871,35.16,-85.2
47089,"Jefferson County","TN",54495,712051940,814075476,59,1514345,53,110,36.05,-83.44
47093,"Knox County","TN",470313,1316572232,1362130684,1664,27307967,52,1059,35.99,-83.94
47149,"Rutherford County","TN",332285,1603845509,1616299328,511,15039503,53,1491,35.84,-86.42
47157,"Shelby County","TN",937166,1977649595,2033221715,5115,65031814,47,3263,35.18,-89.9
47163,"Sullivan County","TN",158348,1070695045,1112934216,138,8169722,49,137,36.51,-82.3
47187,"Williamson County","TN",238412,1509616958,1512624938,428,22991779,44,928,35.89,-86.9
48027,"Bell County","TX",362924,2722825522,2817483543,656,16620763,52,652,31.04,-97.48
48029,"Bexar County","TX",2003554,3212140683,3253220395,21758,109073496,53,4314,29.45,-98.52
48039,"Brazoria County","TX",374264,3528352491,4166290468,164,17654526,53,1619,29.17,-95.43
48085,"Collin County","TX",1034730,2178894500,2295109962,5720,64924439,48,1741,33.19,-96.58
48113,"Dallas County","TX",2635516,2258614866,2353313838,34940,264438886,49,7192,32.77,-96.78
48141,"El Paso County","TX",839238,2624139561,2629590656,5210,32412416,53,1071,31.77,-106.24
48157,"Fort Bend County","TX",811688,2231486504,2293018588,5542,25918414,44,675,29.53,-95.77
48167,"Galveston County","TX",342139,981441986,2263123963,1386,15020639,53,1958,29.23,-94.89
48183,"Gregg County","TX",123945,708052198,714258612,73,8515870,48,63,32.49,-94.82
48201,"Harris County","TX",4713325,4416454882,4603596338,56681,387731505,44,2060,29.86,-95.39
48209,"Hays County","TX",230191,1755978790,1761016533,708,7138280,53,536,30.06,-98.03
48285,"Lavaca County","TX",20154,2511535251,2513417467,7,1176217,53,32,29.38,-96.92
48321,"Matagorda County","TX",36643,2830586734,4176388001,129,2239398,54,404,28.78,-96
48339,"Montgomery County","TX",607391,2700380211,2789134786,2583,24858535,49,975,30.3,-95.5
48423,"Smith County","TX",232751,2386603414,2459767927,268,11042024,52,630,32.38,-95.27
48439,"Tarrant County","TX",2102515,2236833515,2336938138,5700,120101296,49,2624,32.77,-97.29
48453,"Travis County","TX",1273954,2568875749,2649665557,20441,111568556,52,4522,30.24,-97.69
49011,"Davis County","UT",355481,774500758,1645194013,3628,14972633,46,639,41.04,-112.2
49035,"Salt Lake County","UT",1160437,1921943668,2086847019,21486,92409828,51,6113,40.67,-111.92
49043,"Summit County","UT",42145,4844778489,4871394435,450,3373698,51,2697,40.87,-110.97
49053,"Washington County","UT",177556,6287037057,6294818728,338,6088316,54,276,37.26,-113.49
49057,"Weber County","UT",260213,1492522446,1708980402,1813,11064186,48,334,41.27,-111.88
50003,"Bennington County","VT",35470,1748233047,1755161055,67,1716444,47,178,43.04,-73.11
50007,"Chittenden County","VT",163774,1389750172,1603977722,2358,11570630,51,2194,44.46,-73.07
50023,"Washington County","VT",58409,1779428779,1800606099,372,3825047,53,253,44.27,-72.61
50027,"Windsor County","VT",55062,2511194819,2530556917,184,2644860,53,336,43.59,-72.59
51009,"Amherst County","VA",31605,1227554630,1240453325,83,887197,52,60,37.63,-79.15
51013,"Arlington County","VA",236842,67333000,67606562,38904,35077695,48,980,38.88,-77.1
51019,"Bedford County","VA",78997,1968605129,2010723647,46,2112590,52,48,37.31,-79.53
51041,"Chesterfield County","VA",352802,1097033443,1131788870,804,17216677,53,996,37.38,-77.59
51047,"Culpeper County","VA",52605,982089169,991094306,287,1835220,52,74,38.49,-77.96
51059,"Fairfax County","VA",1147532,1012684309,1052811229,59503,NA,47,1959,38.83,-77.28
51065,"Fluvanna County","VA",27270,743630414,754377439,21,881852,52,63,37.83,-78.28
51067,"Franklin County","VA",56042,1788700725,1843079292,155,1523142,52,85,36.99,-79.88
51085,"Hanover County","VA",107766,1211818312,1224470983,175,5994502,52,119,37.76,-77.49
51095,"James City County","VA",76523,368724589,463970578,248,NA,52,1409,37.32,-76.78
51105,"Lee County","VA",23423,1127622401,1132519269,14,510324,52,35,36.7,-83.13
51107,"Loudoun County","VA",413538,1335828238,1350249611,7814,26377063,48,810,39.08,-77.64
51109,"Louisa County","VA",37591,1284976753,1322770887,128,2376613,52,137,37.97,-77.96
51117,"Mecklenburg County","VA",30587,1619502374,1759200167,26,1233915,48,59,36.69,-78.37
51147,"Prince Edward County","VA",22802,906395970,916436085,40,808980,52,44,37.22,-78.43
51153,"Prince William County","VA",470335,869562682,900451182,11732,NA,52,1640,38.7,-77.48
51163,"Rockbridge County","VA",22573,1545038082,1553875051,28,NA,52,32,37.81,-79.45
51165,"Rockingham County","VA",81948,2200943714,2211591335,55,NA,52,126,38.51,-78.88
51177,"Spotsylvania County","VA",136215,1039887175,1073004197,1737,NA,53,197,38.18,-77.66
51510,"Alexandria City","VA",159428,38676699,39749586,20227,15734949,52,659,38.82,-77.08
51590,"Danville City","VA",40044,110844524,113185888,376,NA,52,99,36.58,-79.41
51630,"Fredericksburg City","VA",29036,27067169,27244848,862,NA,52,44,38.3,-77.49
51660,"Harrisonburg City","VA",53016,44908390,45039470,590,NA,52,191,38.44,-78.87
51810,"Virginia Beach City","VA",449974,633832297,1288515923,2146,22621499,52,1395,36.78,-76.02
53011,"Clark County","WA",488241,1627765163,1697993010,4772,20743251,46,685,45.77,-122.49
53013,"Columbia County","WA",3985,2249624728,2262186490,4,467092,52,26,46.29,-117.91
53025,"Grant County","WA",97733,6939853494,7229815374,826,5790087,44,385,47.21,-119.47
53027,"Grays Harbor County","WA",75061,4924421612,5759111510,244,2847465,51,42,47.14,-123.83
53029,"Island County","WA",85141,540043252,1339864492,961,3157398,50,1365,48.16,-122.67
53031,"Jefferson County","WA",32221,4671590207,5666626241,201,1101987,46,162,47.8,-123.52
53033,"King County","WA",2252782,5478600963,5976276056,155109,303694235,1,26,47.49,-121.83
53035,"Kitsap County","WA",271473,1023381117,1465495926,11084,13056917,48,732,47.64,-122.65
53037,"Kittitas County","WA",47935,5949976986,6042412994,335,1866037,47,117,47.12,-120.68
53043,"Lincoln County","WA",10939,5984421210,6059687171,8,477384,54,26,47.58,-118.42
53053,"Pierce County","WA",904980,4319603700,4676112018,15011,44809301,46,3182,47.04,-122.14
53057,"Skagit County","WA",129205,4481247129,4965098842,482,8114344,49,1520,48.49,-121.82
53061,"Snohomish County","WA",822083,5404058573,5686970901,21329,43533409,39,5037,48.05,-121.77
53063,"Spokane County","WA",522798,4568452137,4611887082,6173,26482714,53,2397,47.62,-117.4
53067,"Thurston County","WA",290536,1871237475,2004885007,2185,14064850,51,631,46.93,-122.83
53073,"Whatcom County","WA",229247,5459429045,6487580265,2404,14639526,50,1630,48.84,-121.84
53077,"Yakima County","WA",250873,11122757280,11163925454,532,10517064,52,2868,46.46,-120.74
55025,"Dane County","WI",546695,3098910897,3205116214,15586,45531350,48,2108,43.07,-89.42
55039,"Fond du Lac County","WI",103403,1863666382,1983521008,124,5285833,51,490,43.75,-88.49
55079,"Milwaukee County","WI",945726,625440563,3080824198,24113,61228371,52,11770,43.02,-87.48
55093,"Pierce County","WI",42754,1486272236,1532951904,31,1195260,48,72,44.73,-92.43
55101,"Racine County","WI",196311,861398471,2051636913,1415,9648711,52,463,42.75,-87.41
55117,"Sheboygan County","WI",115340,1324851063,3292498796,222,7435577,52,252,43.75,-87.73
55133,"Waukesha County","WI",404198,1423769192,1503587237,1293,30987892,51,1488,43.02,-88.31
55139,"Winnebago County","WI",171907,1125846130,1498491482,668,10411532,53,252,44.09,-88.67
56013,"Fremont County","WY",39261,23785388824,23998157412,120,1645788,52,448,43.06,-108.61
56033,"Sheridan County","WY",30485,6535475109,6543461439,18,1397518,51,148,44.78,-106.88
