Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
472,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,"5,160","5,022",2.75%
474,AL,AK,WLK,Selawik,Selawik,CS,None,"5,094","5,260",-3.16%
475,AL,AK,WTK,Noatak,Noatak,CS,None,"4,984","4,716",5.68%
480,AL,AK,BVK,Buckland,Buckland,CS,None,"4,694","4,456",5.34%
481,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,"4,584","4,444",3.15%
483,AL,AK,PHO,Point Hope,Point Hope,CS,None,"4,515","4,964",-9.05%
485,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,"4,417","4,093",7.92%
488,AL,AK,SOV,Seldovia,Seldovia,CS,None,"4,315","4,206",2.59%
489,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,"4,296","3,614",18.87%
490,AL,AK,OOK,Wade Hampton (Census Area),Toksook Bay,CS,None,"4,294","4,777",-10.11%
491,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,"4,273","3,049",40.14%
498,AL,AK,CFK,Chefornak,Chefornak,CS,None,"4,002","4,027",-0.62%
501,AL,AK,SVA,Savoonga,Savoonga,CS,None,"3,926","4,188",-6.26%
505,AL,AK,WBB,Stebbins,Stebbins,CS,None,"3,798","2,687",41.35%
506,AL,AK,AWI,Barrow (County),Wainwright,CS,None,"3,761","3,756",0.13%
507,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,"3,718","3,485",6.69%
508,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,"3,712","3,589",3.43%
509,AL,AK,2A9,Kotlik,Kotlik,CS,None,"3,709","3,612",2.69%
510,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,"3,685","2,948",25.00%
512,AL,AK,SDP,Sand Point,Sand Point,CS,None,"3,636","3,998",-9.05%
514,AL,AK,GAM,Gambell,Gambell,CS,None,"3,610","3,493",3.35%
515,AL,AK,KVL,Kivalina,Kivalina,CS,None,"3,580","3,454",3.65%
516,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,"3,443","3,096",11.21%
517,AL,AK,KLG,Kalskag,Kalskag,CS,None,"3,425","2,915",17.50%
518,AL,AK,EEK,Eek,Eek,CS,None,"3,382","2,839",19.13%
519,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,"3,369","3,856",-12.63%
520,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,"3,350","3,360",-0.30%
522,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,"3,320","3,341",-0.63%
523,AL,AK,KAE,Kake,Kake,CS,None,"3,309","3,087",7.19%
524,AL,AK,Z13,Akiachak,Akiachak,CS,None,"3,308","2,556",29.42%
530,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,"3,222","3,263",-1.26%
532,AL,AK,BTI,Kaktovik,Barter Island,CS,None,"3,135","3,212",-2.40%
533,AL,AK,HLA,Huslia,Huslia,CS,None,"3,128","2,897",7.97%
536,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,"3,016","3,353",-10.05%
538,AL,AK,UUO,Willow,Willow,GA,None,"3,002","3,500",-14.23%
542,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,CS,None,"2,901","2,455",18.17%
544,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,"2,837","2,733",3.81%
545,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,"2,776","2,237",24.09%
550,AL,AK,ELI,Elim,Elim,CS,None,"2,694","2,313",16.47%
